bigram,count
of the,60
odo odo,49
tan tancred,48
in the,42
the sultan,39
i have,30
alex alexius,30
to the,26
god godfrey,25
kilidge arslan,24
on the,23
of a,21
from the,21
' t,20
i do,20
to be,19
the sultana,19
sul sultana,18
kil kilidge,18
boh bohemond,17
i will,17
spy spy,15
my master,15
with the,14
ray raymond,14
t is,14
haf hafez,14
count of,13
i am,13
do not,13
the council,13
of thoulouse,12
to my,12
as a,12
in his,12
of tarento,11
for the,11
at the,11
will not,11
that i,11
