word,count
the,606
to,347
you,296
and,269
of,243
count,243
my,216
carlos,204
pacomo,186
almeyda,179
is,170
in,164
car,159
eugenia,150
alm,146
that,139
your,133
pac,125
he,119
it,119
but,111
have,99
his,97
not,96
me,95
what,91
eug,88
beatrice,87
be,87
's,86
