bigram,count
car carlos,158
count almeyda,152
alm count,144
pac pacomo,124
eug eugenia,88
count arandez,59
bea beatrice,58
ar count,52
to the,48
of the,46
gus gusman,40
in the,34
on the,28
i am,26
flo flora,25
i have,23
my lord,22
to be,21
you have,21
' t,21
the castle,19
i shall,19
almeyda i,18
the door,18
at the,17
in a,17
the count,17
t is,17
the court,17
of a,16
yes sir,16
is the,16
for the,15
sir car,15
pacomo yes,15
that i,15
he is,15
but i,15
like a,14
carlos you,14
