word,count
the,658
of,328
and,277
to,252
you,168
in,129
my,123
odo,121
tancred,118
is,110
that,110
his,105
it,102
he,100
have,99
not,97
your,86
be,79
will,79
's,76
on,72
this,72
him,69
for,67
with,64
as,63
me,61
but,59
sultan,50
tan,49
